a,1. primeira letra do alfabeto,2. um; uma
a few,alguns; certo número de; vários
a little,um pouco; um tanto
a lot of,1. muito,2. um grande número de
abacus,ábaco
abandon,1. abandonar,2. desamparar,3. abrir mão de; renunciar; resignar
abandoned,abandonado
abandonment,1. abandono,2. abdicação; cessão; submissão,3. naturalidade; simplicidade
abash,embaraçar; envergonhar; estorvar
abashed,acanhado; vergonhoso
abashment,aperto; embaraço; estorvo; óbice; perplexidade
abate,abater; diminuir; enfraquecer
abated,abatido; diminuído; enfraquecido
abatement,abatimento; desconto
abbacy,abadia
abbatial,abacial
abbess,abadessa
abbey,abadia
abbot,abade
abbotcy,abadia
abbotship,abadia
abbreviate,abreviar
abbreviated,abreviado
abbreviation,abreviação
abbreviator,abreviador
abdicable,abdicável; renunciável
abdicate,abdicar; demitir-se; desistir
abdication,abdicação; demissão
abdomen,abdome; barriga; ventre
abdominal,abdominal; relativo ao abdome
abduct,1. seqüestro,2. seqüestrar
abductor,abdutor
aberrant,aberrante
aberration,1. aberração,2. defeito; erro
abet,1. agitar; amotinar; sacolejar; sacudir,2. ajudar; assistir,3. concitar; incitar; provocar,4. amparar; sustenar; suportar
abhor,abominar; detestar; ter nojo de
abhorrence,abominação; asco; horror; repulsão
abhorrent,1. abominável; repugnante,2. nauseante
abide,1. aguardar; esperar; estar à espera de,2. aguentar; agüentar; suportar; tolerar,3. insistir; perseverar; persistir,4. padecer; sofrer
abiding,duradouro
ability,1. habilidade; capacidade; faculdade; poder,2. habilitação
abiogenesis,abiogenêse; abiogenesia
abject,1. desprezível,2. miserável
abjure,1. renunciar,2. anular; declarar sem efeito; revogar
ablative,ablativo
ablaze,ardente
able,abdicável; renunciável
ably,habilmente
abnegate,1. abnegar,2. renunciar
abnegation,abnegação; desprendimento
abnormal,anômalo; anormal
abnormality,anormalidade
abnormally,anormalmente
abnormity,anomalia
aboard,a bordo
abode,1. domicílio,2. aposento; habitação; morada
abolish,1. abolir; anular,2. declarar sem efeito; revogar
abolition,abolição
abominable,1. abominável; repugnante,2. nauseante
abominate,abominar; detestar; ter nojo de
abomination,1. abominação; asco; horror; repulsão,2. algo repugnante
aboriginal,aborígene; indígena; nativo
abort,1. abortar; fazer abortar,2. fracassar; malograr-se; ter mau êxito
aborted,abortado; cancelado
abortion,1. abortamento,2. fiasco; malogro
abortive,estéril; inútil; vão
abound,1. abundar,2. enxamear; formigar; pulular
about,1. sobre; acerca de; a respeito de; quanto a,2. mais ou menos; aproximadamente; cerca de
above,sobre; acima; acima de; para cima
above all,em especial; principalmente; sobretudo
abracadabra,abracadabra
abridge,resumir; demarcar; limitar; restringir
abridgement,resumo; sumário
abroad,1. ao estrangeiro,2. fora; de fora,3. exterior
abrogate,1. abolir; anular,2. declarar sem efeito; revogar
abrogation,1. abolição,2. ab-rogação
abrupt,1. abrupto; brusco; repentino; súbito,2. chocante; rude,3. escarpado; íngreme,4. inesperado; inopinado
abruptly,abruptamente; repentinamente
abscess,abscesso; apostema
abscissa,abscissa
absence,1. ausência; falta,2. carência; falha
absence of mind,distracção
absent,ausente
absent onself,afastar-se; ausentar-se; partir; retirar-se
absentee,ausente; quem está ausente
absinth,1. licor verde preparado do absíntio,2. absíntio; losna,3. artemijem; artemísia; erva-de-são-joão
absolute,absoluto; completo
absolute power,poder absoluto; autocracia
absolute rule,autocracia
absolute ruler,autócrata
absolutely,1. absolutamente,2. com efeito; de fato; efetivamente,3. impreterivelmente; infalivelmente; sem falta
absolution,absolvição; perdão
absolutism,absolutismo
absolve,absolver
absorb,1. absorver; sorver,2. empolgar,3. dispor de; ter à disposição
absorbent,absorvente; hidrófilo
absorbing,fascinante
absorption,absorção
abstain,abster-se
abstemious,comedido; parco; sério; sóbrio
abstention,abstinência
abstinence,abstinência
abstract,1. abstrato,2. resumo; sumário,3. concentrado,4. abstrair; fazer abstração de,5. resumir
abstraction,1. abstração,2. extração,3. furto
absurd,absurdo
absurdity,1. absurdo; coisa absurda,2. absurdeza; absurdidade
absurdly,absurdamente
abundance,abundância; fartura; riqueza
abundant,abundante; basto; copioso; farto; lauto
abundantly,abundantemente
abuse,1. abuso,2. injúria; insulto,3. defeito; desvantagem; inconveniente,4. abusar,5. injuriar; insultar; ofender; ultrajar,6. atormentar; supliciar; torturar
abusive,abusivo
abusively,abusivamente; de forma abusiva
abutment,contraforte
abysm,abismo
abysmal,1. desesperado,2. horrível; terrível
abyss,abismo; boqueirão; fundão; pélago; precipício; sorvedouro
acacia,acácia
academic,1. acadêmico; estudante
academician,acadêmico
academy,academia
acalculous,acalculoso; sem cálculos
acanthosis,acantose
acanthus,acanto; erva-gigante
accede,1. tornar-se membro de um grupo,2. anuir; concordar; estar de acordo
accelerate,acelerar; adiantar; apressar; atirar; aumentar a velocidade de
accelerated,acelerado
acceleration,aceleração
accelerator,acelerador
accelerator pedal,pedal do acelerador
accent,1. acento; ênfase,2. sotaque,3. enfatizar; acentuar
accent mark,acento
accentuate,1. acentuar,2. enfatizar
accentuated,acentuado
accentuation,acentuação
accept,aceitar; acolher; admitir; receber; topar
acceptable,aceitável
acceptance,aceitação; acolhida; acolhimento; admissão
acceptation,aceitação
accepted,aceito; aceitado
access,1. acesso,2. crise; agressão; ataque,3. arranco; impulso,4. acessar
accessibility,acessibilidade
